states,states_code,id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,AL,1,,,,,,,,,,
Alaska,AK,2,,,,,,,,,,
Arizona,AZ,4,,,,,,,,,,
Arkansas,AR,5,,,,,,,,,,
California,CA,6,,,,,,,,,,
Texas,TX,48,,,,,,,,,,
Florida,FL,12,,,,,,,,,,
New York,NY,36,,,,,,,,,,
Pennsylvania,PA,42,,,,,,,,,,
Illinois,IL,17,,,,,,,,,,
Ohio,OH,39,,,,,,,,,,
Georgia,GA,13,,,,,,,,,,
North Carolina,NC,37,,,,,,,,,,
Michigan,MI,26,,,,,,,,,,
New Jersey,NJ,34,,,,,,,,,,
Virginia,VA,51,,,,,,,,,,
Washington,WA,53,,,,,,,,,,
Arizona,AZ,4,,,,,,,,,,
Massachusetts,MA,25,,,,,,,,,,
Tennessee,TN,47,,,,,,,,,,
Indiana,IN,18,,,,,,,,,,
Missouri,MO,29,,,,,,,,,,
Maryland,MD,24,,,,,,,,,,
Wisconsin,WI,55,,,,,,,,,,
Colorado,CO,8,,,,,,,,,,
Minnesota,MN,27,,,,,,,,,,
South Carolina,SC,45,,,,,,,,,,
Alabama,AL,1,,,,,,,,,,
Louisiana,LA,22,,,,,,,,,,
Kentucky,KY,21,,,,,,,,,,
Oregon,OR,41,,,,,,,,,,
Oklahoma,OK,40,,,,,,,,,,
Connecticut,CT,9,,,,,,,,,,
Utah,UT,49,,,,,,,,,,
Puerto Rico,PR,72,,,,,,,,,,
Iowa,IA,19,,,,,,,,,,
Nevada,NV,32,,,,,,,,,,
Arkansas,AR,5,,,,,,,,,,
Mississippi,MS,28,,,,,,,,,,
Kansas,KS,20,,,,,,,,,,
New Mexico,NM,35,,,,,,,,,,
North Dakota,ND,38,,,,,,,,,,
