states,states_code,id,year,population
Alabama,AL,1,2010,4785437
Alaska,AK,2,2010,713910
Arizona,AZ,4,2010,6407172
Arkansas,AR,5,2010,2921964
California,CA,6,2010,37319502
Texas,TX,48,2019,28995881
Florida,FL,12,2019,21477737
New York,NY,36,2019,19453561
Pennsylvania,PA,42,2019,12801989
Illinois,IL,17,2019,12671821
Ohio,OH,39,2019,11689100
Georgia,GA,13,2019,10617423
North Carolina,NC,37,2019,10488084
Michigan,MI,26,2019,9986857
New Jersey,NJ,34,2019,8882190
Virginia,VA,51,2019,8535519
Washington,WA,53,2019,7614893
Arizona,AZ,4,2019,7278717
Massachusetts,MA,25,2019,6892503
Tennessee,TN,47,2019,6829174
Indiana,IN,18,2019,6732219
Missouri,MO,29,2019,6137428
Maryland,MD,24,2019,6045680
Wisconsin,WI,55,2019,5822434
Colorado,CO,8,2019,5758736
Minnesota,MN,27,2019,5639632
South Carolina,SC,45,2019,5148714
Alabama,AL,1,2019,4903185
Louisiana,LA,22,2019,4648794
Kentucky,KY,21,2019,4467673
Oregon,OR,41,2019,4217737
Oklahoma,OK,40,2019,3956971
Connecticut,CT,9,2019,3565287
Utah,UT,49,2019,3205958
Puerto Rico,PR,72,2019,3193694
Iowa,IA,19,2019,3155070
Nevada,NV,32,2019,3080156
Arkansas,AR,5,2019,3017804
Mississippi,MS,28,2019,2976149
Kansas,KS,20,2019,2913314
New Mexico,NM,35,2019,2096829
North Dakota,ND,38,2019,762062
